service_id,date,exception_type
18299072923-20170705140526_v55.10,20170718,2
18299072923-20170705140526_v55.10,20170719,2
50051083985-20170602141618_v54.27,20170616,1
21040043103-20170705140526_v55.10,20170717,2
21040043103-20170705140526_v55.10,20170714,2
21040043103-20170705140526_v55.10,20170720,2
21040043103-20170705140526_v55.10,20170713,2
21040043103-20170705140526_v55.10,20170721,2
21040043103-20170705140526_v55.10,20170718,2
21040043103-20170705140526_v55.10,20170719,2
18288043292-20170602141618_v54.27,20170712,2
18288043292-20170602141618_v54.27,20170710,2
18288043292-20170602141618_v54.27,20170711,2
50051071285-20170602141618_v54.27,20170616,2
18194067301-20170602141618_v54.27,20170712,2
18194067301-20170602141618_v54.27,20170710,2
18194067301-20170602141618_v54.27,20170711,2
18160080605-20170602141618_v54.27,20170712,2
18160080605-20170602141618_v54.27,20170710,2
18160080605-20170602141618_v54.27,20170711,2
21208080721-20170705140526_v55.10,20170717,2
21208080721-20170705140526_v55.10,20170714,2
21208080721-20170705140526_v55.10,20170720,2
21208080721-20170705140526_v55.10,20170713,2
21208080721-20170705140526_v55.10,20170721,2
21208080721-20170705140526_v55.10,20170718,2
21208080721-20170705140526_v55.10,20170719,2
21209080539-20170705140526_v55.10,20170717,2
21209080539-20170705140526_v55.10,20170714,2
21209080539-20170705140526_v55.10,20170720,2
21209080539-20170705140526_v55.10,20170713,2
21209080539-20170705140526_v55.10,20170721,2
21209080539-20170705140526_v55.10,20170718,2
21209080539-20170705140526_v55.10,20170719,2
18114080577-20170602141618_v54.27,20170712,2
18114080577-20170602141618_v54.27,20170710,2
18114080577-20170602141618_v54.27,20170711,2
21247083112-20170705140526_v55.10,20170717,2
21247083112-20170705140526_v55.10,20170714,2
21247083112-20170705140526_v55.10,20170720,2
21247083112-20170705140526_v55.10,20170713,2
21247083112-20170705140526_v55.10,20170721,2
21247083112-20170705140526_v55.10,20170718,2
21247083112-20170705140526_v55.10,20170719,2
15072899-20170602141618_v54.27,20170712,2
15072899-20170602141618_v54.27,20170710,2
15072899-20170602141618_v54.27,20170711,2
18255043179-20170705140526_v55.10,20170717,2
18255043179-20170705140526_v55.10,20170714,2
18255043179-20170705140526_v55.10,20170720,2
18255043179-20170705140526_v55.10,20170713,2
18255043179-20170705140526_v55.10,20170721,2
18255043179-20170705140526_v55.10,20170718,2
18255043179-20170705140526_v55.10,20170719,2
21072083209-20170602141618_v54.27,20170712,2
