service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
14258065203-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
2366079509-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
8300080474-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
14249081984-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14798066043-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3100033966-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14248081908-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1098079030-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5552011738-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
1064073744-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
15532054173-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14635064947-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
13170082205-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,1,0
1064073729-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1991054115-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
4976023922-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
12813041218-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14625064080-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14312054690-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1085083071-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
14302054420-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1085078761-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,0
18032072837-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
8300033740-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
14243081850-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
2363074516-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
23100083962-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,0
14769040857-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
1064073670-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
1130082444-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
12858065898-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
5550011295-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14313073941-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14314060651-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
